"date","currency_pair","rate"
2024-12-18 00:00:00,BTCUSD,101756.5093
2024-12-17 00:00:00,BTCUSD,106505.2228
2024-12-16 00:00:00,BTCUSD,105960.8773
2024-12-15 00:00:00,BTCUSD,104365.842
2024-12-14 00:00:00,BTCUSD,101576.8821
2024-12-13 00:00:00,BTCUSD,101725.1524
2024-12-12 00:00:00,BTCUSD,100492.7387
2024-12-11 00:00:00,BTCUSD,101374.5983
2024-12-10 00:00:00,BTCUSD,96904.9479
2024-12-09 00:00:00,BTCUSD,97603.5006
2024-12-08 00:00:00,BTCUSD,101172.0672
2024-12-07 00:00:00,BTCUSD,99831.1925
2024-12-06 00:00:00,BTCUSD,99906.4763
2024-12-05 00:00:00,BTCUSD,97148.6948
2024-12-04 00:00:00,BTCUSD,98692.7048
2024-12-03 00:00:00,BTCUSD,95934.4943
2024-12-02 00:00:00,BTCUSD,95792.7363
2024-12-01 00:00:00,BTCUSD,97275.8724
2024-11-30 00:00:00,BTCUSD,96342.5672
2024-11-29 00:00:00,BTCUSD,97453.9522
2024-11-28 00:00:00,BTCUSD,95655.5785
2024-11-27 00:00:00,BTCUSD,96033.2903
2024-11-26 00:00:00,BTCUSD,91991.5136
2024-11-25 00:00:00,BTCUSD,93335.06
2024-11-24 00:00:00,BTCUSD,97894.6593
2024-11-23 00:00:00,BTCUSD,97332.4939
2024-11-22 00:00:00,BTCUSD,98674.2808
2024-11-21 00:00:00,BTCUSD,98145.3831
2024-11-20 00:00:00,BTCUSD,94219.3023
2024-11-19 00:00:00,BTCUSD,92290.0038
2024-11-18 00:00:00,BTCUSD,90565.741
2024-11-17 00:00:00,BTCUSD,89607.4817
2024-11-16 00:00:00,BTCUSD,90295.6186
2024-11-15 00:00:00,BTCUSD,90970.6571
2024-11-14 00:00:00,BTCUSD,87326.321
2024-11-13 00:00:00,BTCUSD,90300.9823
2024-11-12 00:00:00,BTCUSD,87384.7438
2024-11-11 00:00:00,BTCUSD,87869.7002
2024-11-10 00:00:00,BTCUSD,80305.0235
2024-11-09 00:00:00,BTCUSD,76755.4988
2024-11-08 00:00:00,BTCUSD,76586.5667
2024-11-07 00:00:00,BTCUSD,75877.8968
2024-11-06 00:00:00,BTCUSD,75438.2011
2024-11-05 00:00:00,BTCUSD,69374.251
2024-11-04 00:00:00,BTCUSD,67843.3415
2024-11-03 00:00:00,BTCUSD,68818.3573
2024-11-02 00:00:00,BTCUSD,69443.7619
2024-11-01 00:00:00,BTCUSD,69593.6093
2024-10-31 00:00:00,BTCUSD,70239.6881
2024-10-30 00:00:00,BTCUSD,72395.4896
2024-10-29 00:00:00,BTCUSD,72646.0151
2024-10-28 00:00:00,BTCUSD,69880.6878
2024-10-27 00:00:00,BTCUSD,67925.0357
2024-10-26 00:00:00,BTCUSD,67175.8407
2024-10-25 00:00:00,BTCUSD,66813.8344
2024-10-24 00:00:00,BTCUSD,68168.8004
2024-10-23 00:00:00,BTCUSD,66641.2394
2024-10-22 00:00:00,BTCUSD,67370.9518
2024-10-21 00:00:00,BTCUSD,67328.1824
